WEIBO_TXT
" 【大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多 ​  展开全文, 【大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝衣服并录制视频,甚至将偷拍裸露照片和视频上传至多人群聊，其行为已导致芝芝患重度抑郁拒绝校园暴力,无知不是伤害别人的理由！ 收起全文"
太原师范学院校园暴力，大二女生长期遭室友恐吓侮辱被外传裸露视频！大家觉得校园暴力事件应该怎样处置？ ​
【“起侮辱性绰号”也属欺凌！严惩涉校违法犯罪！】近年校园欺凌事件时有发生，对于校园欺凌你了解多少？不管哪个年龄阶段，如果遭受校园欺凌，应该勇敢站出来，及时报警！法律给你撑腰！！！戳↓↓@晋中公安   @山西公安  #瑶瑶最爱社会摇# ​
"转发微博,【大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝 ​  展开全文,【大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝衣服并录制视频,甚至将偷拍裸露照片和视频上传至多人群聊，其行为已导致芝芝患重度抑郁。@太原校园 收起全文"
"【网曝大二女生长期遭室友霸凌 学校回应：正在进行认真核查】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝衣 ​  展开全文,【网曝大二女生长期遭室友霸凌 学校回应：正在进行认真核查】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝衣服并录制视频,甚至将偷拍裸露照片和视频上传至多人群聊，其行为已导致芝芝患重度抑郁。@太原师范学院 回应，关于学生反映遭受校园暴力情况的回应。学校对5月29日中午网上学生反映的问题高度关注，第一时间召集相关当事人，正在进行认真核查，将根据核查结果做出相应处理，并及时进行公布。真诚感谢广大网友的关注和监督。（中国妇女报 ） 收起全文"
"【大二女生自曝遭室友霸凌 被扒衣服偷拍群发】5月29日，网友@王芝芝会有狗的 称自己是太原师范学院大二学生，长期遭受来自室友李某的“校园暴力”。李某因为她的姓氏，就给她起了“潘金莲”这样侮辱性外号，还公开扬言要对她行为暴力，在宿舍还以好友开玩笑打闹的形式多次胁迫扒掉自己的 ​  展开全文,【大二女生自曝遭室友霸凌 被扒衣服偷拍群发】5月29日，网友@王芝芝会有狗的 称自己是太原师范学院大二学生，长期遭受来自室友李某的“校园暴力”。李某因为她的姓氏，就给她起了“潘金莲”这样侮辱性外号，还公开扬言要对她行为暴力，在宿舍还以好友开玩笑打闹的形式多次胁迫扒掉自己的衣服并录制视频，甚至将这些偷拍的裸露视频图片群发。29日晚，太原师范学院回应，称正在进行认真核查，将根据核查结果做出相应处理，并及时进行公布。    稍后芝芝发文称自己发表的”太原师范学院校园暴力”，“是我们舍友之间的打打闹闹，玩笑可能开过了头。当时我正在气头上，所以在微博上发表了过激的言论。随着心情的平复，我认识到自己言行的不妥之处，感谢网友们的关心，也希望网友们不要过多地炒作。 ”  #瑶瑶最爱社会摇# ​ 收起全文"
"一句话彻底暴露了@王胜男DetSup 的无知、狭隘与混乱！王胜男还是那一套自己就是“主宰”的论调，奉行一切都要以她为中心的逻辑！因为她“受过霸凌”，所以她就是霸凌方面的权威。因为她上过电视，所以她就是“公众人物”。因为她觉得自己有二十几万粉丝，又上过电视，所以是个有“地位”的人，绝对 ​  展开全文,一句话彻底暴露了@王胜男DetSup 的无知、狭隘与混乱！王胜男还是那一套自己就是“主宰”的论调，奉行一切都要以她为中心的逻辑！因为她“受过霸凌”，所以她就是霸凌方面的权威。因为她上过电视，所以她就是“公众人物”。因为她觉得自己有二十几万粉丝，又上过电视，所以是个有“地位”的人，绝对“可信”，不可能会泄露隐私。因为她觉得自己“手眼通天”，又为王芝芝“做了很多”，所以王芝芝就一定要知道，一定要领情，一定要感恩戴德。因为她自认为的“可信”和“付出”，所以别人一定要给她看证据。王芝芝不给她看证据就等于没有证据。王芝芝没有给她看诊断证明，抑郁症就一定是假的。王芝芝没有在微博上详细描述自己被强拍裸照是露了大腿、小腿、三点还是生殖器，就是在故意误导。王芝芝发博时她没有认真看，所以就是故意误导。王芝芝的微博让她产生不好的联想，所以就是在故意误导网友们，而她就可以代表“网友们”。王芝芝存在没有证据的可能，所以她也可以没有依据地信口胡说。有人跟她说那个李什么瑶状态很不好，她说自己每天看着心里难受，没人跟她说王芝芝状态不好，所以状态一定是好的。律师没有通过她确认身份，就是不可信的，律师说一定能刑事立案就是不可信的。冷眼旁观没有支持她的判断，就是把她卖了。支持她的就是对的，反对她的就一定会后悔，将来要跟她道歉。别人毁人清白就要付出代价，而她自己则没事，想怎么说就可以怎么说。所以，她自己的事她说了算，别人的事也是她说了算，她就是世界的主宰，她说要有光，于是世界就有了光！#不要报考太原师范学院# 收起全文"
高考结束了，各位准备报考的学弟学妹们，太原师范学院可千万别去，虽然没了热搜没了关注，但要记得那是一所发生过校园霸凌事件且没有解决没有最后声明的地方，为了自己谨慎报考 ​
#高校看山西# 【太原师范学院毕业生视频，有点甜】15级教育系应用心理学祝全体15级学长学姐前程似锦，归来仍是少年。慢慢喜欢你#毕业季#晋中·太原师范学院 爱生活的陈青年的秒拍视频 ​
倒计时一更：玉米面+麻辣拌+热干面+炒方便面+蜜汁口味烤肉饭（俩家）+肉末米粉+老碗面（拌面）+早餐标配：香辣豆筋饼和鸡蛋羹 晋中·太原师范学院 ​
"#晚安,太师# 今晚的太师很热闹大家早点睡 晚安哦 太师青春行知艺术团的秒拍视频 ​"
声明，这就是我的微博号，不是小号。第一，我没钱冲会员，改不了名字。第二，我当初注册微博时比较晚，很多名字都用不了。所以就用了这个。广大网友智商够没。看懂了不  ​​​。不然不至于被潘jy牵着鼻子走啊，在地上摩擦的起不来噻 晋中·太原师范学院 ​
帮一位知乎的朋友“也鸽”代发，把@王胜男DetSup 诋毁王芝芝的逻辑套在她自己身上，似乎她要比芝芝还要惨所以，做人不要太双标，特别是面对和自己相似遭遇的人，千万不要太王胜男！ #不要报考太原师范学院# ​
"#不要报考太原师范学院##高考报志愿#  打tag就完事了 虽然从头到尾站芝芝 但是不论这件事真相到底如何 这个学校是真的辣鸡 发生这种事情不会发个公告 任由热度发酵 “请网友们稍安勿躁此事正经由学校调查当中，查明真相后一定还当事人公道。”这种官方话不会说吗 这么吝啬你们的时间不愿 ​  展开全文,#不要报考太原师范学院##高考报志愿#  打tag就完事了 虽然从头到尾站芝芝 但是不论这件事真相到底如何 这个学校是真的辣鸡 发生这种事情不会发个公告 任由热度发酵 “请网友们稍安勿躁此事正经由学校调查当中，查明真相后一定还当事人公道。”这种官方话不会说吗 这么吝啬你们的时间不愿用你们金贵的手指敲敲键盘吗 事后发的公告更是一副和事佬姿态给谁看呢 更甚连公章都没有 撤热搜的速度倒是很快嗷 如果李姓学生真是清白的 那么多天的“网络暴力” 学校也不“保护”一下吗 收起全文"
"#校园霸凌#   王女士：总之一句话 真相是什么 我说了算。,一句话彻底暴露了@王胜男DetSup 的无知、狭隘与混乱！王胜男还是那一套自己就是“主宰”的论调，奉行一切都要以她为中心的逻辑！因为她“受过霸凌”，所以她就是霸凌方面的权威。因为她上过电视，所以她就是“公众人物”。因为她觉得自己有二十几万粉丝，又上过电视，所以是个有“地位”的人，绝对 ​  展开全文,一句话彻底暴露了@王胜男DetSup 的无知、狭隘与混乱！王胜男还是那一套自己就是“主宰”的论调，奉行一切都要以她为中心的逻辑！因为她“受过霸凌”，所以她就是霸凌方面的权威。因为她上过电视，所以她就是“公众人物”。因为她觉得自己有二十几万粉丝，又上过电视，所以是个有“地位”的人，绝对“可信”，不可能会泄露隐私。因为她觉得自己“手眼通天”，又为王芝芝“做了很多”，所以王芝芝就一定要知道，一定要领情，一定要感恩戴德。因为她自认为的“可信”和“付出”，所以别人一定要给她看证据。王芝芝不给她看证据就等于没有证据。王芝芝没有给她看诊断证明，抑郁症就一定是假的。王芝芝没有在微博上详细描述自己被强拍裸照是露了大腿、小腿、三点还是生殖器，就是在故意误导。王芝芝发博时她没有认真看，所以就是故意误导。王芝芝的微博让她产生不好的联想，所以就是在故意误导网友们，而她就可以代表“网友们”。王芝芝存在没有证据的可能，所以她也可以没有依据地信口胡说。有人跟她说那个李什么瑶状态很不好，她说自己每天看着心里难受，没人跟她说王芝芝状态不好，所以状态一定是好的。律师没有通过她确认身份，就是不可信的，律师说一定能刑事立案就是不可信的。冷眼旁观没有支持她的判断，就是把她卖了。支持她的就是对的，反对她的就一定会后悔，将来要跟她道歉。别人毁人清白就要付出代价，而她自己则没事，想怎么说就可以怎么说。所以，她自己的事她说了算，别人的事也是她说了算，她就是世界的主宰，她说要有光，于是世界就有了光！#不要报考太原师范学院# 收起全文"
