#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"@强国魂9856: @强国魂9856: @强国魂9856: 我刘国贤，实名举报太原师范学院教师以不发毕业证威胁学生，有名有姓有地址，有照片，保证举报绝对真实，希望网友支持，欢迎网友监督！网页链接,#平安校园# 【汛期来了，这些防汛自救常识很重要！】近日，气象台有#暴雨蓝色预警#，暴雨天气极易形成内涝，内涝形成后如何自救？家中内涝积水该如何应对？车辆和行人安全防御需注意哪些方面？山洪来临时如何转移？如何在自然灾害来临时安全生存，赶快戳视频了解一下吧↓↓ ?  展开全文,#平安校园# 【汛期来了，这些防汛自救"
"进来挨打  #太原师范学院#,【五名未成年少女因校园欺凌获刑！向校园欺凌说不！】一名熊孩子猛推孕妇：我想看她会不会流产。遵纪守法，应从娃娃抓起。否则，将会受到法律的惩罚。下面这则案例敲响了警钟：北京五名未成年少女因校园欺凌，分别获刑一年及11个月。2017年2月，这五名女生在校内无故殴打、辱骂两名同学，造成其中一人 ?  展开全文,【五名未成年少女因校园欺凌获刑！向校园欺凌说不！】一名熊孩子猛推孕妇：我想看她会不会流产。遵纪守法，应从娃娃抓起。否则，将会受到法律的惩罚。下面这则案例敲响了警钟：北京五名未成年少女因校园欺凌，分别获刑一年及11个月。2017年2月，这五名女生在校内无故殴打、辱骂两名同学，造成其中一人精神抑郁，至今无法正常生活学习。法官认为虽是未成年人，但随意殴打他人致伤，已构成寻衅滋事罪，依法应予惩处。你支持判刑吗？#欺凌未成年人获刑1年半# 人民故事的微博视频 收起全文"
"#太原师范回应 未发生暴力行为# #李梓瑶# #太师校园暴力# #太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#正义网友与太原师范王芝芝通话录音#大家复制带新话题，学校压热度，还想拖时间，父母已经动摇了！#太原師範學院校園暴力##正义网友与太原师范王芝芝通话录音##不要报考太原师范学院##瑶湘呼应# ???
#太原师范学院#大家复制带新话题，学校压热度，还想拖时间，父母已经动摇了！#太原師範學院校園暴力##正义网友与太原师范王芝芝通话录音##不要报考太原师范学院##瑶湘呼应# ?
"#正义网友与太原师范王芝芝通话录音# #抵制太原师范学院#,【大二女生称遭室友侮辱恐吓 被威胁录制裸露视频  校方回应】5月29日，太原师范学院一大二学生爆料称，遭室友侮辱恐吓，被起“潘金莲”外号，遭身体攻击，室友还多次胁迫扒自己衣服并录制视频传网上。30日，太原师范学院党委办公室对 @时间视频 称，已关注到此事，正调查处理。时间视频的秒拍视频 ?"
"@强国魂9856: @强国魂9856: @强国魂9856: 我刘国贤，实名举报太原师范学院教师以不发毕业证威胁学生，有名有姓有地址，有照片，保证举报绝对真实，希望网友支持，欢迎网友监督！网页链接 //@木糊木糊:转发微博,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"哦#太原师范校园暴力#  #太师校园暴力# #不要报考太原师范学院# #太原师范回应 未发生暴力行为# #太原师范回应 未发生暴力行为# #赵湘# #李梓瑶# #李梓瑶 赵湘滚出来道歉# #起侮辱性绰号也属欺凌# 行吧   扶不起来就算了   反正家长也没把孩子当回事  只想要个道歉就完了   大家伙还操个什么心啊,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范学院#妄为人师的领导 ?
#太原师范学院爆力#  热度已经开始下降了…不知道到最后的结果是不是又同曾经发生过的类似事件一样不了了之… ?
#不要报考太原师范学院#顶顶顶 南平 ?
#抵制太原师范学院#垃圾学校 ?
在吗亲亲？这边建议你们领导的表字??今晚必死无疑哦。@太原师范学院- ?
"//@普普通通的七七七七七七:#太师校园暴力##太师校园暴力##太原师范校园暴力##太原师范校园暴力#  #太原师范回应 未发生暴力行为#  #不要报考太原师范学院##李梓瑶##李梓瑶 赵湘# ? ???,#太师校园暴力##太原师范回应 未发生暴力行为##不要报考太原师范学院#上联： 六月高考不努力 太原师范欢迎您下联：校园暴力一条龙 每天都有新期待横批：恭喜太原师范19年招生工作提前结束 ?"
#太原师范学院#扫黑除恶@太原师范学院- ?
